C01 - Bâtiments;;;;;;
Nature du contrat;Code de catégorie;Description de la catégorie;Catégorie;Code UNSPSC;Description du code UNSPSC;Description détaillée du code UNSPSC
Travaux de construction ;C01;Bâtiments;C01 - Bâtiments;72102005;Ignifugation d'immeubles;Ignifugation d'immeubles/Services de construction, de réparation et d'entretien d'immeubles
Travaux de construction ;C01;Bâtiments;C01 - Bâtiments;72102006;Isolation de tuyaux;Isolation de tuyaux/Services de construction, de réparation et d'entretien d'immeubles
Travaux de construction ;C01;Bâtiments;C01 - Bâtiments;72102200;Services d'électricien;Services d'électricien/Services de construction, de réparation et d'entretien d'immeubles
Travaux de construction ;C01;Bâtiments;C01 - Bâtiments;72102201;Installation ou entretien de systèmes d'alimentation électrique;Installation ou entretien de systèmes d'alimentation électrique/Services de construction, de réparation et d'entretien d'immeubles
Travaux de construction ;C01;Bâtiments;C01 - Bâtiments;72102202;Installation de commandes électroniques;Installation de commandes électroniques/Services de construction, de réparation et d'entretien d'immeubles
Travaux de construction ;C01;Bâtiments;C01 - Bâtiments;72102203;Installation d'équipements de communications;Installation d'équipements de communications/Services de construction, de réparation et d'entretien d'immeubles
Travaux de construction ;C01;Bâtiments;C01 - Bâtiments;72102204;Installation de systèmes de sécurité et de sûreté;Installation de systèmes de sécurité et de sûreté/Services de construction, de réparation et d'entretien d'immeubles
Travaux de construction ;C01;Bâtiments;C01 - Bâtiments;72102205;Entretien ou soutien d'équipement de télécommunications;Entretien ou soutien d'équipement de télécommunications/Services de construction, de réparation et d'entretien d'immeubles
Travaux de construction ;C01;Bâtiments;C01 - Bâtiments;72102208;Pose de câbles;Pose de câbles/Services de construction, de réparation et d'entretien d'immeubles
Travaux de construction ;C01;Bâtiments;C01 - Bâtiments;72102209;Tirage de câbles;Tirage de câbles/Services de construction, de réparation et d'entretien d'immeubles
Travaux de construction ;C01;Bâtiments;C01 - Bâtiments;72102300;Plomberie, chauffage et climatisation;Plomberie, chauffage et climatisation/Services de construction, de réparation et d'entretien d'immeubles
Travaux de construction ;C01;Bâtiments;C01 - Bâtiments;72102301;Installation, réglage, entretien ou réparation de chaudières;Installation, réglage, entretien ou réparation de chaudières/Services de construction, de réparation et d'entretien d'immeubles
Travaux de construction ;C01;Bâtiments;C01 - Bâtiments;72102302;Installation, réparation ou entretien de systèmes de chauffage;Installation, réparation ou entretien de systèmes de chauffage/Services de construction, de réparation et d'entretien d'immeubles
Travaux de construction ;C01;Bâtiments;C01 - Bâtiments;72102303;Construction de systèmes de plomberie;Construction de systèmes de plomberie/Services de construction, de réparation et d'entretien d'immeubles
Travaux de construction ;C01;Bâtiments;C01 - Bâtiments;72102304;Entretien ou réparation de systèmes de plomberie;Entretien ou réparation de systèmes de plomberie/Services de construction, de réparation et d'entretien d'immeubles
Travaux de construction ;C01;Bâtiments;C01 - Bâtiments;72102305;Installation, entretien ou réparation de systèmes de climatisation;Installation, entretien ou réparation de systèmes de climatisation/Services de construction, de réparation et d'entretien d'immeubles
Travaux de construction ;C01;Bâtiments;C01 - Bâtiments;72102400;Peinture et pose de papier peint;Peinture et pose de papier peint/Services de construction, de réparation et d'entretien d'immeubles
Travaux de construction ;C01;Bâtiments;C01 - Bâtiments;72102401;Services de peinture extérieure;Services de peinture extérieure/Services de construction, de réparation et d'entretien d'immeubles
Travaux de construction ;C01;Bâtiments;C01 - Bâtiments;72102402;Services de peinture intérieure;Services de peinture intérieure/Services de construction, de réparation et d'entretien d'immeubles
Travaux de construction ;C01;Bâtiments;C01 - Bâtiments;72102403;Services de pose de papier peint;Services de pose de papier peint/Services de construction, de réparation et d'entretien d'immeubles
Travaux de construction ;C01;Bâtiments;C01 - Bâtiments;72102404;Application de peinture industrielle ou spécialisée (avions, navires, ponts);Application de peinture industrielle ou spécialisée (avions, navires, ponts)/Services de construction, de réparation et d'entretien d'immeubles
Travaux de construction ;C01;Bâtiments;C01 - Bâtiments;72102500;Maçonnerie, taille de pierre et carrelage;Maçonnerie, taille de pierre et carrelage/Services de construction, de réparation et d'entretien d'immeubles
Travaux de construction ;C01;Bâtiments;C01 - Bâtiments;72102501;Briquetage;Briquetage/Services de construction, de réparation et d'entretien d'immeubles
Travaux de construction ;C01;Bâtiments;C01 - Bâtiments;72102502;Construction ou réparation (entretien) de cheminées;Construction ou réparation (entretien) de cheminées/Services de construction, de réparation et d'entretien d'immeubles
Travaux de construction ;C01;Bâtiments;C01 - Bâtiments;72102503;Pose de marbre, de pierres ou de carreaux;Pose de marbre, de pierres ou de carreaux/Services de construction, de réparation et d'entretien d'immeubles
